region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
1156011500,11,560,115,00,1156011500,1156011500,서울특별시 영등포구 당산동5가,15,,1156000000,당산동5가,
1156011600,11,560,116,00,1156011600,1156011600,서울특별시 영등포구 당산동6가,16,,1156000000,당산동6가,
1156011700,11,560,117,00,1156011700,1156011700,서울특별시 영등포구 당산동,17,,1156000000,당산동,
1156011800,11,560,118,00,1156011800,1156011800,서울특별시 영등포구 도림동,18,,1156000000,도림동,
1156011900,11,560,119,00,1156011900,1156011900,서울특별시 영등포구 문래동1가,19,,1156000000,문래동1가,
1156012000,11,560,120,00,1156012000,1156012000,서울특별시 영등포구 문래동2가,20,,1156000000,문래동2가,
1156012100,11,560,121,00,1156012100,1156012100,서울특별시 영등포구 문래동3가,21,,1156000000,문래동3가,
1156012200,11,560,122,00,1156012200,1156012200,서울특별시 영등포구 문래동4가,22,,1156000000,문래동4가,
1156012300,11,560,123,00,1156012300,1156012300,서울특별시 영등포구 문래동5가,23,,1156000000,문래동5가,
1156012400,11,560,124,00,1156012400,1156012400,서울특별시 영등포구 문래동6가,24,,1156000000,문래동6가,
1156012500,11,560,125,00,1156012500,1156012500,서울특별시 영등포구 양평동1가,25,,1156000000,양평동1가,
1156012600,11,560,126,00,1156012600,1156012600,서울특별시 영등포구 양평동2가,26,,1156000000,양평동2가,
1156012700,11,560,127,00,1156012700,1156012700,서울특별시 영등포구 양평동3가,27,,1156000000,양평동3가,
1156012800,11,560,128,00,1156012800,1156012800,서울특별시 영등포구 양평동4가,28,,1156000000,양평동4가,
1156012900,11,560,129,00,1156012900,1156012900,서울특별시 영등포구 양평동5가,29,,1156000000,양평동5가,
1156013000,11,560,130,00,1156013000,1156013000,서울특별시 영등포구 양평동6가,30,,1156000000,양평동6가,
1156013100,11,560,131,00,1156013100,1156013100,서울특별시 영등포구 양화동,31,,1156000000,양화동,
1156013200,11,560,132,00,1156013200,1156013200,서울특별시 영등포구 신길동,32,,1156000000,신길동,
1156013300,11,560,133,00,1156013300,1156013300,서울특별시 영등포구 대림동,33,,1156000000,대림동,
1156013400,11,560,134,00,1156013400,1156013400,서울특별시 영등포구 양평동,34,,1156000000,양평동,
1159000000,11,590,000,00,1159000000,1159000000,서울특별시 동작구,20,,1100000000,동작구,
1154500000,11,545,000,00,1154500000,1154500000,서울특별시 금천구,18,,1100000000,금천구,
1154510100,11,545,101,00,1154510100,1154510100,서울특별시 금천구 가산동,1,,1154500000,가산동,20000101
1154510200,11,545,102,00,1154510200,1154510200,서울특별시 금천구 독산동,2,,1154500000,독산동,20000101
1154510300,11,545,103,00,1154510300,1154510300,서울특별시 금천구 시흥동,3,,1154500000,시흥동,
1156000000,11,560,000,00,1156000000,1156000000,서울특별시 영등포구,19,,1100000000,영등포구,
1150000000,11,500,000,00,1150000000,1150000000,서울특별시 강서구,16,,1100000000,강서구,
1150010100,11,500,101,00,1150010100,1150010100,서울특별시 강서구 염창동,1,,1150000000,염창동,
1150010200,11,500,102,00,1150010200,1150010200,서울특별시 강서구 등촌동,2,,1150000000,등촌동,
1150010300,11,500,103,00,1150010300,1150010300,서울특별시 강서구 화곡동,3,,1150000000,화곡동,
1150010400,11,500,104,00,1150010400,1150010400,서울특별시 강서구 가양동,4,,1150000000,가양동,
1150010500,11,500,105,00,1150010500,1150010500,서울특별시 강서구 마곡동,5,,1150000000,마곡동,
1150010600,11,500,106,00,1150010600,1150010600,서울특별시 강서구 내발산동,6,,1150000000,내발산동,
1150010700,11,500,107,00,1150010700,1150010700,서울특별시 강서구 외발산동,7,,1150000000,외발산동,
1150010800,11,500,108,00,1150010800,1150010800,서울특별시 강서구 공항동,8,,1150000000,공항동,
1150010900,11,500,109,00,1150010900,1150010900,서울특별시 강서구 방화동,9,,1150000000,방화동,
