아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
한보구암마을,1999.0,59.58,"65,000",2,,중개거래,2024,9,8,,,,,개인,개인,서울 강서구,강서구,가양동,실거래,2024-09-21
방화4단지,1994.0,100.35,"90,000",9,,중개거래,2024,9,6,,,,,개인,개인,서울 강서구,강서구,방화동,실거래,2024-09-21
강변한솔솔파크,2005.0,84.97,"104,500",10,,중개거래,2024,9,5,,,,,개인,개인,서울 강서구,강서구,염창동,실거래,2024-09-21
강서힐스테이트,2015.0,152.1,"160,000",9,,중개거래,2024,9,1,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
스위트드림아파트,2019.0,50.38,"47,500",6,,중개거래,2024,9,4,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
한미(286-1),1988.0,47.22,"43,000",1,,중개거래,2024,9,5,,,,,개인,개인,서울 강서구,강서구,방화동,실거래,2024-09-21
강변,1992.0,34.44,"51,500",3,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,가양동,실거래,2024-09-21
초록,1998.0,59.34,"70,300",6,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
"우장산아이파크,이편한세상",2008.0,84.97,"129,000",12,,중개거래,2024,9,1,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
이너스내안에,2004.0,59.9,"63,800",3,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,염창동,실거래,2024-09-21
화곡푸르지오,2002.0,156.876,"133,500",1,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
우장산롯데캐슬,2003.0,85.0,"109,500",10,,중개거래,2024,9,3,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
코오롱오투빌2,2002.0,84.96,"75,000",3,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,등촌동,실거래,2024-09-21
e편한세상염창,2019.0,55.0323,"84,500",8,,중개거래,2024,9,2,,,,,개인,개인,서울 강서구,강서구,염창동,실거래,2024-09-21
SPACE(920-5),2014.0,19.75,"15,300",15,,중개거래,2024,9,2,,,,,개인,개인,서울 마포구,강서구,화곡동,실거래,2024-09-21
우방,1993.0,84.9,"55,000",3,,중개거래,2024,9,3,,,,,개인,개인,"서울 구로구, 서울 영등포구",구로구,구로동,실거래,2024-09-21
다솜금호,1995.0,84.35,"65,000",12,,중개거래,2024,9,19,,,,,개인,개인,서울 구로구,구로구,구로동,실거래,2024-09-21
신성은하수,1997.0,59.88,"70,000",17,,중개거래,2024,9,4,,,,,개인,개인,서울 구로구,구로구,신도림동,실거래,2024-09-21
우남퍼스트빌더센트럴,2020.0,84.9149,"79,000",15,,중개거래,2024,9,7,,,,,개인,개인,서울 구로구,구로구,항동,실거래,2024-09-21
구일우성,1998.0,59.44,"48,500",10,,중개거래,2024,9,12,,,,,개인,개인,서울 구로구,구로구,구로동,실거래,2024-09-21
두산,1997.0,59.69,"52,000",25,,중개거래,2024,9,7,,,,,개인,개인,서울 구로구,구로구,개봉동,실거래,2024-09-21
고척LIG리가1차,2009.0,84.91,"82,500",14,,중개거래,2024,9,6,,,,,개인,개인,서울 구로구,구로구,고척동,실거래,2024-09-21
삼성래미안,2004.0,58.136,"70,000",4,,중개거래,2024,9,10,,,,,개인,개인,서울 구로구,구로구,구로동,실거래,2024-09-21
