아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
문래해태,2024-09-12,1999.0,65.65,"65,000",4,101,중개거래,,,24.09.12,,개인,개인,서울 영등포구,영등포구,문래동3가,실거래,2024-09-21,nan
아크로타워스퀘어,2024-09-02,2017.0,59.7,"140,000",16,,중개거래,,,,,개인,개인,"서울 동작구, 서울 영등포구",영등포구,영등포동7가,실거래,2024-09-21,nan
삼환,2024-09-02,1999.0,59.91,"95,000",8,,중개거래,,,,,개인,개인,"서울 광진구, 서울 영등포구",영등포구,영등포동8가,실거래,2024-09-21,nan
현대3차,2024-09-02,1997.0,140.54,"78,000",18,306,직거래,,,24.09.04,,개인,개인,,영등포구,대림동,실거래,2024-09-21,nan
공작,2024-09-03,1976.0,93.06,"239,500",11,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21,nan
현대3차,2024-09-02,1997.0,59.83,"79,500",8,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21,nan
래미안당산1차,2024-09-02,1995.0,84.99,"127,000",19,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,당산동,실거래,2024-09-21,nan
e편한세상영등포아델포레,2024-09-02,2020.0,59.968,"105,000",15,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21,nan
G밸리소홈,2024-09-07,2018.0,16.1,"15,000",12,,직거래,,,,,개인,개인,,영등포구,대림동,실거래,2024-09-21,nan
포레나영등포센트럴,2024-09-02,2020.0,84.8025,"139,500",20,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21,nan
한보구암마을,2024-09-01,1999.0,59.58,"72,000",12,,중개거래,,,,,개인,개인,"서울 강서구, 서울 마포구",강서구,가양동,실거래,2024-09-21,nan
곰달래,2024-09-14,1997.0,84.42,"50,000",2,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
"우장산아이파크,이편한세상",2024-09-01,2008.0,114.98,"145,000",19,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
마곡삼성아파트,2024-09-09,1998.0,59.97,"65,000",5,,중개거래,,,,,개인,개인,서울 강서구,강서구,마곡동,실거래,2024-09-21,nan
청솔,2024-09-08,1994.0,49.2,"51,900",2,,중개거래,,,,,개인,개인,"서울 강동구, 서울 강서구",강서구,방화동,실거래,2024-09-21,nan
태승훼미리아파트5차,2024-09-02,2010.0,61.14,"64,500",3,,중개거래,,,,,개인,개인,"서울 강서구, 서울 마포구",강서구,내발산동,실거래,2024-09-21,nan
"등촌7,8단지주공아파트",2024-09-06,1994.0,41.85,"56,000",12,,중개거래,,,,,개인,개인,서울 강서구,강서구,등촌동,실거래,2024-09-21,nan
한보구암마을,2024-09-08,1999.0,59.58,"65,000",2,,중개거래,,,,,개인,개인,서울 강서구,강서구,가양동,실거래,2024-09-21,nan
방화4단지,2024-09-06,1994.0,100.35,"90,000",9,,중개거래,,,,,개인,개인,서울 강서구,강서구,방화동,실거래,2024-09-21,nan
강변한솔솔파크,2024-09-05,2005.0,84.97,"104,500",10,,중개거래,,,,,개인,개인,서울 강서구,강서구,염창동,실거래,2024-09-21,nan
강서힐스테이트,2024-09-01,2015.0,152.1,"160,000",9,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
스위트드림아파트,2024-09-04,2019.0,50.38,"47,500",6,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
한미(286-1),2024-09-05,1988.0,47.22,"43,000",1,,중개거래,,,,,개인,개인,서울 강서구,강서구,방화동,실거래,2024-09-21,nan
강변,2024-09-02,1992.0,34.44,"51,500",3,,중개거래,,,,,개인,개인,서울 강서구,강서구,가양동,실거래,2024-09-21,nan
초록,2024-09-02,1998.0,59.34,"70,300",6,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
"우장산아이파크,이편한세상",2024-09-01,2008.0,84.97,"129,000",12,,중개거래,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21,nan
