aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
3,남서울건영2,11545-34,384,12,1989,개인, , ,"29,500",3,9,2024,중개거래,서울 금천구,41.34,2,384-12,1,N,24.09.09,독산로10길,96,0,4151056,1,11545,0.0,11545,개인,10300,시흥동,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"417,300",2,9,2024,직거래, ,117.335,16,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"376,100",2,9,2024,직거래, ,101.9509,30,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"493,400",3,9,2024,직거래, ,132.5963,20,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"367,500",2,9,2024,직거래, ,101.9509,36,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,브라이튼여의도,11560-2391,525,0,2023,개인, , ,"376,100",2,9,2024,직거래, ,101.9509,28,525,1,N, ,국제금융로,39,0,3118002,1,11560,0.0,11560,법인,11000,여의도동,2024-09-15
 ,당산현대3차,11560-38,88,0,1988,개인, , ,"117,500",2,9,2024,중개거래,서울 영등포구,84.93,3,88,1,N, ,당산로41길,23,0,4154119,1,11560,0.0,11560,개인,11400,당산동4가,2024-09-15
 ,양평한신,11560-98,76,0,1996,개인, , ,"83,700",7,9,2024,중개거래,서울 영등포구,59.94,6,76,1,N, ,양평로24길,9,0,4154625,1,11560,0.0,11560,개인,12900,양평동5가,2024-09-15
 ,당산삼성래미안4차,11560-138,42,0,2003,개인, , ,"186,000",3,9,2024,중개거래,서울 영등포구,115.78,11,42,1,N, ,당산로,214,0,3118004,5,11560,0.0,11560,개인,11500,당산동5가,2024-09-15
 ,공작,11560-8,21,2,1976,개인, , ,"255,000",9,9,2024,중개거래,서울 영등포구,91.97,4,21-2,1,N, ,여의대로6길,17,0,4154645,1,11560,0.0,11560,개인,11000,여의도동,2024-09-15
